,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FBgn0003888.4,2.33419483644754e-73,-1.95980743146233,0.987,0.98,4.66838967289508e-70,5,FBgn0003888
FBgn0261989.4,1.39004468172416e-72,0.442669000095067,0.854,0.779,2.78008936344831e-69,5,FBgn0261989
FBgn0001089.5,5.01623804751663e-72,0.849844982289707,0.804,0.769,1.00324760950333e-68,5,FBgn0001089
FBgn0000640.3,5.68752504460963e-72,-0.579516809994296,0.436,0.663,1.13750500892193e-68,5,FBgn0000640
FBgn0000723.5,1.66711172364045e-71,-0.942662388992324,0.8,0.825,3.3342234472809e-68,5,FBgn0000723
FBgn0003124.4,4.66288185975452e-71,-0.305433351565804,0.453,0.692,9.32576371950903e-68,5,FBgn0003124
FBgn0036518.5,1.46902533346415e-70,-1.07296173710666,0.765,0.851,2.93805066692831e-67,5,FBgn0036518
FBgn0052412.5,1.85690790282374e-70,-0.919848802122796,0.818,0.839,3.71381580564747e-67,5,FBgn0052412
FBgn0035498.4,1.94320256893803e-70,-1.67991893013696,0.91,0.924,3.88640513787606e-67,5,FBgn0035498
FBgn0259221.4,3.99667592796394e-70,-0.5826360227248,0.599,0.743,7.99335185592787e-67,5,FBgn0259221
FBgn0004636.5,1.57956527928308e-69,-1.28448058701156,0.949,0.95,3.15913055856617e-66,5,FBgn0004636
FBgn0039108.4,7.0768554108782e-69,-0.677319483010687,0.74,0.772,1.41537108217564e-65,5,FBgn0039108
FBgn0036334.3,1.35955403922809e-68,0.661605682619658,0.901,0.829,2.71910807845618e-65,5,FBgn0036334
FBgn0086370.4,2.09429034291815e-68,-0.411285864434513,0.625,0.747,4.18858068583631e-65,5,FBgn0086370
FBgn0260442.5,8.21955138088588e-68,-1.30231130990955,0.949,0.953,1.64391027617718e-64,5,FBgn0260442
FBgn0039052,8.36684017978118e-67,0.43883353381251,0.814,0.746,1.67336803595624e-63,5,FBgn0039052
FBgn0283461.2,1.54578430659697e-66,0.410985331133917,0.777,0.645,3.09156861319394e-63,5,FBgn0283461
FBgn0050015.3,4.19517838327683e-66,-0.491305449793642,0.589,0.701,8.39035676655366e-63,5,FBgn0050015
FBgn0051324.5,4.3158111640002e-64,-0.987835345077074,0.801,0.902,8.63162232800041e-61,5,FBgn0051324
FBgn0043070.4,4.36256629747912e-64,-1.01148581389636,0.851,0.89,8.72513259495824e-61,5,FBgn0043070
FBgn0038679.3,8.04360423594632e-64,-0.565938397319421,0.715,0.816,1.60872084718926e-60,5,FBgn0038679
