"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0021776",0,NA,NA,NA,NA,NA,"FBgn0021776","mira"
"FBgn0038746",0.0309054660226371,0.548454601733866,4.9025026161352,-0.00679991100211907,1,NA,"FBgn0038746",NA
"FBgn0038745",0.139556215475653,0.123222186196234,1.34291678334442,-0.0672275577921653,1,NA,"FBgn0038745",NA
"FBgn0038741",0.0206826666674712,0.662264816887478,7.21293668836532,-0.00479385229107976,1,NA,"FBgn0038741","CG17186"
"FBgn0038740",0.00567656979452287,0.74948885767757,7.21293899421009,0.000359920300009975,0.98486378871801,NA,"FBgn0038740","CG4562"
"FBgn0038773",0,NA,NA,NA,NA,NA,"FBgn0038773","CG10887"
"FBgn0038774",0,NA,NA,NA,NA,NA,"FBgn0038774","CG5023"
"FBgn0051206",0.00337462497537276,0.866442594100838,7.21291246139597,0.00882969900464659,0.925135785487848,NA,"FBgn0051206","CG31206"
"FBgn0003249",0,NA,NA,NA,NA,NA,"FBgn0003249","Rh3"
"FBgn0038788",0.00614605006595037,0.727798383964339,7.21293857762438,0.000259856833810801,0.987138597670327,NA,"FBgn0038788","Sirt2"
"FBgn0002869",0.0785900334210292,1.91457740754539,3.77242219421927,0.502739964832756,0.478298673141839,NA,"FBgn0002869","MtnB"
"FBgn0038797",0.00559442382057026,0.74948885767757,7.21293899421009,0.000392783738167424,0.984187942640259,NA,"FBgn0038797","Dic2"
"FBgn0038795",0,NA,NA,NA,NA,NA,"FBgn0038795",NA
"FBgn0038787",0.144074296226475,0.511964708773923,1.39496900660833,-0.0323329539767769,1,NA,"FBgn0038787","CG4360"
"FBgn0038784",0.00553436141442922,0.749488857677569,7.21293899421009,0.00041683298764994,0.9837111309644,NA,"FBgn0038784","CG4362"
"FBgn0053192",0.0252777225478448,0.951215958750546,7.21278024143393,0.0292723449505488,0.864151719209243,NA,"FBgn0053192","MtnD"
"FBgn0043457",0.0356619190808328,0.503268603929104,5.52725930686659,-0.0229027798457366,1,NA,"FBgn0043457","CG5180"
"FBgn0038803",0.0819588087468108,0.336350469524441,1.95451405259412,-0.0659409324386786,1,NA,"FBgn0038803","CG5191"
"FBgn0038806",0.0376213720125729,0.828444946142351,5.91575429027564,0.00513127577691819,0.942894037939208,NA,"FBgn0038806","CG5412"
"FBgn0038808",0.0890879961334232,0.667134997716157,2.06780348553417,0.020742706794465,0.885482082082292,NA,"FBgn0038808","Srp14"
"FBgn0038810",0.0379790800195429,0.356100592060612,4.69517060299345,-0.019946366904577,1,NA,"FBgn0038810","Srp72"
"FBgn0023097",0.0539800406119518,0.396945725098973,2.96309145819882,-0.02598160680364,1,NA,"FBgn0023097","bon"
"FBgn0038815",0,NA,NA,NA,NA,NA,"FBgn0038815","CG5466"
"FBgn0001169",0.109372621550006,0.413710534817854,2.00830220466989,0.035891859657994,0.849738987209735,NA,"FBgn0001169","H"
"FBgn0038816",0,NA,NA,NA,NA,NA,"FBgn0038816","Lrrk"
"FBgn0004107",0.0175078831191599,0.520927457976384,7.05522420147157,-0.00666415296034018,1,NA,"FBgn0004107","Cdk2"
"FBgn0051200",0,NA,NA,NA,NA,NA,"FBgn0051200","CG31200"
"FBgn0015279",0.115421160171771,0.376383232223795,1.81436611736466,-0.101684326988192,1,NA,"FBgn0015279","Pi3K92E"
"FBgn0038811",0.0159702410740637,0.779380040180079,7.21291036471915,0.00170770939195819,0.967037248918096,NA,"FBgn0038811","Pus1"
"FBgn0038809",0.0976113779490042,0.384956810615386,1.85497469250276,-0.108230830292769,1,NA,"FBgn0038809","CG16953"
"FBgn0023212",0.186469126224591,0.534503051904185,1.03388710006412,-0.00837219126208311,1,NA,"FBgn0023212","EloB"
"FBgn0038805",0.09649056006067,0.815808701917072,2.19224380535383,-0.00701655706311044,1,NA,"FBgn0038805","TFAM"
"FBgn0038804",0.0848244365323833,1.20421839080308,2.52445638885295,0.482745990222071,0.487181121699222,NA,"FBgn0038804","CG10877"
"FBgn0040575",0.0956372871614995,0.403077979175769,1.84847758279464,-0.0550466301024528,1,NA,"FBgn0040575","CG15922"
"FBgn0051223",0.0056313589923076,0.823061706092256,7.21291162188487,0.00428084887123248,0.947833074769794,NA,"FBgn0051223","CG31223"
"FBgn0053094",0.182587626173468,0.668622138065435,1.06195635283918,0.135875913766711,0.712415830189402,NA,"FBgn0053094","Synd"
"FBgn0038832",0.139710337894231,0.923937642754234,1.4586032453252,0.329363892773983,0.566033891326157,NA,"FBgn0038832","CG15695"
"FBgn0038833",0.020323561571338,0.708211113510652,7.2128811439375,-0.00240100358163176,1,NA,"FBgn0038833","CG15696"
"FBgn0028396",0.00722086178123558,0.755233101262352,7.21288224315817,0.0042724865700734,0.947883979073467,NA,"FBgn0028396","TotA"
"FBgn0044812",0,NA,NA,NA,NA,NA,"FBgn0044812","TotC"
"FBgn0044809",0,NA,NA,NA,NA,NA,"FBgn0044809","TotZ"
"FBgn0027493",0.240571380938361,-0.0284462968493667,0.875232033564043,0.0290951473370455,0.864559531917499,NA,"FBgn0027493",NA
"FBgn0038830",0.0485933580174448,0.483531000135047,3.16802566615807,-0.0149337140980492,1,NA,"FBgn0038830","CG17272"
"FBgn0038829",0.185687051630179,0.535377413560449,1.01834350449864,0.156982436418104,0.691950047449829,NA,"FBgn0038829","CG17271"
"FBgn0038828",0,NA,NA,NA,NA,NA,"FBgn0038828","CG17270"
"FBgn0038827",0.0133471939690104,0.612947736382264,7.212908100092,-0.00504383222681071,1,NA,"FBgn0038827","Fancd2"
"FBgn0051195",0.0664782567755116,0.229024901778864,2.86286764844824,-0.0334386644658196,1,NA,"FBgn0051195","CG31195"
"FBgn0013995",0.00404449155854362,0.773420261627924,7.21288259815333,0.00189018196044444,0.965321917951936,NA,"FBgn0013995","Calx"
"FBgn0026056",0.0252698570328236,0.899593751218137,6.52267869515285,0.0151140557546086,0.902155215420505,NA,"FBgn0026056","Rlip"
"FBgn0038851",0,NA,NA,NA,NA,NA,"FBgn0038851","dmrt93B"
"FBgn0038855",0.0192442837527703,0.846833631764807,7.21284602000736,-0.000816497192062116,1,NA,"FBgn0038855",NA
"FBgn0028468",0.110062962358305,0.39292741853359,1.81605535958477,-0.0378061335547955,1,NA,"FBgn0028468","rtet"
"FBgn0010770",0.00888710091815592,0.727798383964339,7.21293857762438,-0.000818691811698358,1,NA,"FBgn0010770",NA
