"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0031081",0.000299089340528226,-0.225393589562797,6.99697743828992,-0.000104279191944556,1,NA,"FBgn0031081","Nep3"
"FBgn0031085",0.00274864825542196,-0.22870714378149,4.87871371709138,0.000775637540954222,0.977781571804151,NA,"FBgn0031085","CG9570"
"FBgn0031088",0.000212184783853296,-0.218118578153387,6.99697744224691,-0.000241605117974331,1,NA,"FBgn0031088","CG15322"
"FBgn0040784",0.000524446963837566,-0.217369446340509,6.99697743347126,-0.000140832735688434,1,NA,"FBgn0040784",NA
"FBgn0031086",0,NA,NA,NA,NA,NA,"FBgn0031086","fd19B"
"FBgn0031082",0.00127380792654502,-0.233042508768144,6.88606419027255,5.87277267527497e-05,0.993885549889158,NA,"FBgn0031082","CG17003"
"FBgn0031080",0.334478428120555,0.222697514924327,0.217388920226893,1.63361519389673,0.201203744757961,NA,"FBgn0031080","CG12655"
"FBgn0053217",0.0346500350482277,-0.249131099694582,0.947884688752248,0.0338004321017706,0.854131963236846,NA,"FBgn0053217","CG33217"
"FBgn0052350",0.0389466159053185,-0.155022392123475,0.82431871024487,-0.0893777315111492,1,NA,"FBgn0052350","Vps11"
"FBgn0024733",10.0301087970459,0.01586921387751,0.0466231004952565,0.115847620050772,0.733582461730966,0.908998406481448,"FBgn0024733","RpL10"
"FBgn0040372",0.0614320428524253,-0.202643452695054,0.600554265888217,0.0058463010336709,0.939052254695528,NA,"FBgn0040372","G9a"
"FBgn0000316",0.0825331838617581,-0.250534559691309,0.42665193331335,0.23986793249378,0.624301517140566,NA,"FBgn0000316","cin"
"FBgn0024989",0.00473707923600487,-0.180941141352174,3.27957631987691,-0.00271552279781417,1,NA,"FBgn0024989","CG3777"
"FBgn0040371",0.0231130349342489,-0.135987711772835,1.2043702483132,-0.0303902559453491,1,NA,"FBgn0040371","CG12470"
"FBgn0029521",0.0200493380584931,-0.240255487344167,1.26850697872053,0.000248127845452473,0.987432182837403,NA,"FBgn0029521","Or1a"
"FBgn0029522",0.020572472187136,-0.20755246533944,1.29352989610429,-0.014771112801327,1,NA,"FBgn0029522","CG13373"
"FBgn0052817",0.00319043278886857,-0.206629378214638,4.31701660626934,-0.000566626878310217,1,NA,"FBgn0052817","CG32817"
"FBgn0029524",0.0162037167526208,-0.209217401504964,1.49060690073674,-0.0149075939173144,1,NA,"FBgn0029524","CG3176"
