"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0031081",0.00423453907170507,-0.15645831167409,4.75519781422121,0.000457294820051857,0.9829389756273,NA,"FBgn0031081","Nep3"
"FBgn0031085",0.0009746821478329,-0.13028950374737,6.86858245711113,-0.000101869455832571,1,NA,"FBgn0031085","CG9570"
"FBgn0031088",0.00038248488172094,-0.127593079830167,6.86858246853723,-0.000227841171092535,1,NA,"FBgn0031088","CG15322"
"FBgn0040784",0.000829770918018929,-0.13875004023709,6.86858247189764,-5.88665977545588e-05,1,NA,"FBgn0040784",NA
"FBgn0031086",0.000350874560917556,-0.127593079830167,6.86858246853723,-0.000230295843373085,1,NA,"FBgn0031086","fd19B"
"FBgn0031082",0.00100427206417415,-0.110774748950806,6.86858244241145,-0.000243164459163836,1,NA,"FBgn0031082","CG17003"
"FBgn0031080",1.916736626335,-0.370928823011285,0.126082481793432,8.70514116196864,0.0031731384290859,0.0469171182014844,"FBgn0031080","CG12655"
"FBgn0053217",0.020615843013776,-0.116769086627291,1.73191731362239,-0.00664172864185275,1,NA,"FBgn0053217","CG33217"
"FBgn0052350",0.0413349677213253,-0.0915816214010731,1.02724438356414,-0.00939461638563444,1,NA,"FBgn0052350","Vps11"
"FBgn0024733",7.01915107477279,-0.113622129067237,0.0658891574566319,2.95763784225346,0.0854727252330325,0.301582740737007,"FBgn0024733","RpL10"
"FBgn0040372",0.11391502627573,-0.0349573201138025,0.485328422544273,-0.0114412121897658,1,NA,"FBgn0040372","G9a"
"FBgn0000316",0.0920485648288206,-0.199605260033977,0.53617305072494,0.143175801192456,0.705144027604796,NA,"FBgn0000316","cin"
"FBgn0024989",0.0121237694587431,-0.135763951520717,2.68100476028218,-0.000894790447148353,1,NA,"FBgn0024989","CG3777"
"FBgn0040371",0.0323781300522017,-0.137979583890218,1.28389237749206,-0.0145226500580975,1,NA,"FBgn0040371","CG12470"
"FBgn0029521",0.054276037066426,-0.0762786817197554,0.880035827783618,-0.0249170186418723,1,NA,"FBgn0029521","Or1a"
"FBgn0029522",0.0162482155965504,-0.139008335606573,1.90925415163307,-0.00173600412142605,1,NA,"FBgn0029522","CG13373"
"FBgn0052817",0.0114631429764209,-0.125462974750037,2.21277319585202,-0.000625608048153481,1,NA,"FBgn0052817","CG32817"
"FBgn0029524",0.0889182005451581,-0.289915556153778,0.573641039340117,0.714465075387807,0.397965488319241,NA,"FBgn0029524","CG3176"
"FBgn0023536",0.0394093364427427,-0.0488312586068809,1.01616430630901,-0.0132573959194815,1,NA,"FBgn0023536","CG3156"
"FBgn0023535",0.0178751576645298,-0.107588634288627,1.90014076976588,-0.00570420674750949,1,NA,"FBgn0023535",NA
"FBgn0023537",0.186697043946053,-0.229442028008265,0.310706833172133,0.189613633699537,0.663238381506898,NA,"FBgn0023537","CG17896"
"FBgn0029525",0.00783856030961329,-0.0984456623660148,3.0175880325154,-0.00247523463929156,1,NA,"FBgn0029525","CG18273"
"FBgn0029523",0.00674047996998673,-0.150407928831903,4.18915198049426,0.000757703770005946,0.978039868121249,NA,"FBgn0029523","CR18275"
"FBgn0010019",0.00029249328956656,-0.127593079830167,6.86858246853723,-0.000234831283307813,1,NA,"FBgn0010019","Cyp4g1"
"FBgn0052816",0.00551619814191845,-0.109352475556773,4.61652492073908,-0.00127582247495184,1,NA,"FBgn0052816","CG32816"
"FBgn0040370",0.0027617018717636,-0.116414550421829,6.78001827265251,-0.000357236166337316,1,NA,"FBgn0040370","CG13375"
"FBgn0040373",0.00504427790817142,-0.130738809051504,4.86008285317598,-0.000363830116668851,1,NA,"FBgn0040373","CG3038"
"FBgn0000108",0,NA,NA,NA,NA,NA,"FBgn0000108","Appl"
