"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0030538",0,NA,NA,NA,NA,NA,"FBgn0030538","betaNACtes1"
"FBgn0003386",0.0134592567441222,-0.115472615827242,3.6298979033096,-0.00370129934321994,1,NA,"FBgn0003386","Shaw"
"FBgn0010549",0.00173561791979749,-0.20573728549686,6.46292056808131,0.000254769023435131,0.987265117794931,NA,"FBgn0010549","l(2)03659"
"FBgn0014342",0.00715340838556749,-0.16962245319994,5.18176885707081,0.000465929474529503,0.982778680276034,NA,"FBgn0014342","mia"
"FBgn0032721",0.234326095006809,-0.191529904928159,0.394894097229219,0.191597216289892,0.661590579766179,NA,"FBgn0032721","CG10602"
"FBgn0032720",0.0576716395513044,-0.134515834959612,1.22695662868408,0.00302132666206489,0.956165076172908,NA,"FBgn0032720","mRpL13"
"FBgn0036290",0.280440552438178,0.193127008584429,0.338620486720779,0.632245657613566,0.426532786545672,NA,"FBgn0036290","CG10638"
"FBgn0036362",0,NA,NA,NA,NA,NA,"FBgn0036362",NA
"FBgn0002565",0.043805386773867,-0.144228963651072,1.51791974105831,-0.0205906452865747,1,NA,"FBgn0002565","Lsp2"
"FBgn0036255",0.0283602671620158,0.00894181169907577,1.92321948872549,0.00201913392743336,0.96415929906834,NA,"FBgn0036255","Atg12"
"FBgn0025885",1.11341295459086,0.456010218142883,0.24966161144636,3.38820217948114,0.0656645107794591,0.442847631192897,"FBgn0025885","Inos"
"FBgn0014018",1.2035429594549,0.0928584614681023,0.21843652279195,0.179767277046267,0.6715733152731,0.886153559056885,"FBgn0014018","Rel"
"FBgn0030151",0.624407352775371,-0.416558135288891,0.247036903404149,2.82118590257141,0.0930276482983876,0.466718191455108,"FBgn0030151","CG1354"
"FBgn0003141",0.0236150858914731,-0.20194415343204,2.25876719371598,-0.010104133834318,1,NA,"FBgn0003141","pr"
"FBgn0036039",0.0247816116890627,-0.200256865035358,2.25782606883536,-0.00350288665481457,1,NA,"FBgn0036039",NA
"FBgn0038535",0.680594029517166,-0.361445656646393,0.23495368168222,2.11409779192945,0.145948042146928,0.542088933619503,"FBgn0038535","alt"
"FBgn0053503",0.00121019755293389,-0.174562764157818,6.46292054592591,-0.000355907002862921,1,NA,"FBgn0053503","Cyp12d1-d"
"FBgn0050489",0.00282433792433539,-0.206256170893995,6.46292056325477,0.000365569530437426,0.984745478239152,NA,"FBgn0050489","Cyp12d1-p"
"FBgn0000109",0.0130134173301263,-0.142558166329267,3.33101394277887,-0.00142386492746027,1,NA,"FBgn0000109","Aprt"
"FBgn0039757",7.22630047118235,0.132279080078781,0.0766229459724613,2.97493764354112,0.0845633857023398,0.466718191455108,"FBgn0039757","RpS7"
"FBgn0003892",0.00829581511511885,-0.165112996487272,4.82075383063339,-0.00109080399204231,1,NA,"FBgn0003892","ptc"
"FBgn0005278",0.312623020959676,-0.11378607696713,0.317983231154048,-0.0502590398766642,1,NA,"FBgn0005278","Sam-S"
"FBgn0052000",0.193634866762259,0.00944597822531259,0.429346083363413,0.00399753730766861,0.949586476757949,NA,"FBgn0052000",NA
