"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0003416",0.0618421864560509,0.721779641270328,3.57179830305909,-0.0091972028795908,1,1,"FBgn0003416",NA
"FBgn0005411",0.223351666497594,0.851198020504983,1.36538582080924,0.408053084441377,0.522959340477145,1,"FBgn0005411","U2af50"
"FBgn0030743",0.0566505332396534,0.451431767212427,3.65074768010625,-0.0387021049357514,1,1,"FBgn0030743","CG9921"
"FBgn0030742",0,NA,NA,NA,NA,NA,"FBgn0030742",NA
"FBgn0030740",1.5927797780234,0.720429601348695,0.606466133156092,1.3639967362343,0.242846011550203,1,"FBgn0030740","CG9917"
"FBgn0004432",3.38302076685422,0.211021528707473,0.340710139088357,0.38692333346296,0.533921077949796,1,"FBgn0004432",NA
"FBgn0030738",0.0614279411874008,0.787505993371872,3.77311820297493,-0.0306079135587112,1,1,"FBgn0030738","CG9915"
"FBgn0030737",0.0161349287969139,0.67059864231018,8.0474285888686,-0.00241474261842356,1,1,"FBgn0030737",NA
"FBgn0030734",0.273330527947129,0.918016540237027,1.10063953532551,0.125820859978887,0.722805088631788,1,"FBgn0030734","CG9911"
"FBgn0040207",0.0721429464317912,0.269503988262829,2.75928590490178,-0.0715401466556784,1,1,"FBgn0040207","kat80"
"FBgn0004598",0.0972483767668398,0.644388291861371,2.49344245181357,-0.0186768824650869,1,1,"FBgn0004598","Fur2"
"FBgn0030745",0.0345373167023029,0.427665630165903,5.87736290146758,-0.0121974384220351,1,1,"FBgn0030745",NA
"FBgn0004367",0.00588280282979843,0.680228718092927,8.04743880035536,-0.00150385700618116,1,1,"FBgn0004367",NA
"FBgn0030747",0.0487837706229459,0.518926351990194,4.73152060784581,-0.012395459271815,1,1,"FBgn0030747","CG4301"
"FBgn0030748",0.13063291097901,-0.175897052431501,2.15628206617756,0.0749876905879603,0.784208501689094,1,"FBgn0030748","Traf-like"
"FBgn0030753",0.0721901066382228,0.901293058231537,3.46233842365657,0.112747281966989,0.737037813469059,1,"FBgn0030753","rngo"
"FBgn0026181",0.136293026619185,0.541386569686317,2.08682451025989,0.0949580916797004,0.757966135784212,1,"FBgn0026181","Rok"
"FBgn0030752",0.503165707147968,-0.90844484889777,0.827021074529431,1.94616714202118,0.163000477093805,1,"FBgn0030752","CDC50"
"FBgn0030749",1.40850695585668,0.25601493636381,0.514886123306606,0.241146027349146,0.623379616036473,1,"FBgn0030749","AnxB11"
"FBgn0030746",0,NA,NA,NA,NA,NA,"FBgn0030746","CG9981"
"FBgn0010416",0.0606399985787267,0.625594033275266,3.59212783410784,-0.0250882165309037,1,1,"FBgn0010416",NA
"FBgn0030744",0.0644833631221662,0.61786671334245,3.57607421572005,0.0210067139999808,0.8847606674744,1,"FBgn0030744",NA
"FBgn0010412",6.13240583946326,-0.0274014627060431,0.245886839755812,0.0124144840026474,0.911283060543972,1,"FBgn0010412",NA
"FBgn0030766",0.00411192730626604,0.732630798150725,8.04743062641382,-0.00113434284591207,1,1,"FBgn0030766","mthl1"
"FBgn0030780",0.00368834375621808,0.630019276441734,8.04745906806796,-0.00301955294987977,1,1,"FBgn0030780","CG13008"
"FBgn0030786",0.185490795803338,0.448661685379107,1.39511325377443,0.00367442899892012,0.951664179788223,1,"FBgn0030786","mRpL22"
"FBgn0030788",0.0473974196060073,1.56145019167084,4.22451826572945,0.153604973241272,0.695113849474752,1,"FBgn0030788","Sap30"
"FBgn0030790",0.0683573111452847,0.591190279468256,4.11578927110131,-0.041534979897321,1,1,"FBgn0030790","CG4768"
"FBgn0030792",0.114005671130227,0.1700254486903,2.33832962039365,-0.0340941056139741,1,1,"FBgn0030792","CG4789"
"FBgn0030794",0.00766207026514227,0.687217398026013,8.04743592369187,-0.00173230453073359,1,1,"FBgn0030794","CG13005"
"FBgn0030795",0,NA,NA,NA,NA,NA,"FBgn0030795","ppk28"
"FBgn0030796",0.550538650830196,0.0499435817707578,0.916340554743664,-0.0223107871100865,1,1,"FBgn0030796","CG4829"
"FBgn0030799",0.0430424201912518,0.739004674990963,5.20381550286723,-0.0034250492386434,1,1,"FBgn0030799",NA
"FBgn0030801",0.0449918797222731,0.66042798545808,6.41277480346317,0.0189797755034107,0.890424482003527,1,"FBgn0030801",NA
"FBgn0030803",0.0131418686662492,0.67059864231018,8.0474285888686,-0.00209689207841279,1,1,"FBgn0030803",NA
"FBgn0027556",0.0376454248034922,1.47405924816204,8.04601879766428,0.118275774844715,0.730912126880092,1,"FBgn0027556","CG4928"
"FBgn0053252",0,NA,NA,NA,NA,NA,"FBgn0053252","CG33252"
"FBgn0030802",0.195528827772133,0.338113113176758,1.52907143932517,-0.050850841821898,1,1,"FBgn0030802","DENR"
"FBgn0030800",0.062384016459871,0.465863266438338,3.96351736340176,-0.0409726620842292,1,1,"FBgn0030800","Nprl2"
"FBgn0030793",0.0168128320508196,0.995236431564573,8.04714537001991,0.00851447866782706,0.926480398634503,1,"FBgn0030793","Rai1"
"FBgn0030791",0.122495444749519,0.241644083762674,2.15168544529705,-0.0473763029220322,1,1,"FBgn0030791","CG9132"
"FBgn0030789",0.0317270226957241,0.480293729564093,7.65008519492402,-0.0075674325030235,1,1,"FBgn0030789",NA
"FBgn0030787",0.0191597955738099,0.907788150888821,8.04714683696141,0.0115603772871182,0.914377098207353,1,"FBgn0030787","CG9609"
